estado,year,nivel
San Luis Potosí,2006,0.12903225806451613
San Luis Potosí,2007,0.3157894736842105
San Luis Potosí,2008,0.06666666666666667
San Luis Potosí,2009,0.28169014084507044
San Luis Potosí,2010,0.0
San Luis Potosí,2011,1.628183361629881
San Luis Potosí,2012,0.41
San Luis Potosí,2013,0.5514511873350924
San Luis Potosí,2014,0.0
San Luis Potosí,2015,0.272
San Luis Potosí,2016,0.49667994687915007
San Luis Potosí,2017,0.533713200379867
San Luis Potosí,2018,0.5975609756097561
San Luis Potosí,2019,1.325085324232082
San Luis Potosí,2020,0.8276481149012568
San Luis Potosí,2021,0.9146459747817652
San Luis Potosí,2022,0.8719367588932806
San Luis Potosí,2023,1.6965845909451946
San Luis Potosí,2024,2.6608187134502925
Sinaloa,2003,1.267379679144385
Sinaloa,2004,0.08823529411764706
Sinaloa,2005,0.4090909090909091
Sinaloa,2006,2.2888888888888888
Sinaloa,2007,1.2222222222222223
Sinaloa,2008,0.9366197183098591
Sinaloa,2009,0.5179856115107914
Sinaloa,2010,0.9289940828402367
Sinaloa,2011,1.360730593607306
Sinaloa,2012,1.25
Sinaloa,2013,0.10576923076923077
Sinaloa,2014,0.0
Sinaloa,2015,0.0
Sinaloa,2016,0.1638655462184874
Sinaloa,2017,0.20623501199040767
Sinaloa,2018,1.1353846153846154
Sinaloa,2019,0.6155988857938719
Sinaloa,2020,0.9226006191950464
Sinaloa,2021,1.953804347826087
Sinaloa,2022,0.7023121387283237
Sinaloa,2023,1.7054945054945054
Sinaloa,2024,2.93125
Sonora,2003,1.4093655589123868
Sonora,2004,0.4916387959866221
Sonora,2005,0.3265993265993266
Sonora,2006,2.068713450292398
Sonora,2007,1.1570397111913358
Sonora,2008,0.16027088036117382
Sonora,2009,0.203601108033241
Sonora,2010,0.46551724137931033
Sonora,2011,1.8825581395348838
Sonora,2012,0.8237762237762237
Sonora,2013,0.4906303236797274
Sonora,2014,0.7401032702237521
Sonora,2015,0.13821138211382114
Sonora,2016,0.5559534467323187
Sonora,2017,0.425495262704565
Sonora,2018,1.84640522875817
Sonora,2019,0.1950509461426492
Sonora,2020,1.3837837837837839
Sonora,2021,2.0091984231274638
Sonora,2022,1.2317460317460318
Sonora,2023,1.6153295128939829
Sonora,2024,2.3595166163141994
Tabasco,2003,0.5078125
Tabasco,2004,0.46956521739130436
Tabasco,2005,1.0419580419580419
Tabasco,2006,0.14285714285714285
Tabasco,2007,1.2403846153846154
Tabasco,2008,0.6065573770491803
